month_collected,season,craft,pattern_id,pattern_name,published_date,category,yarn_weight,fiber,projects_count,favorites_count,queued_projects_count,rating_average,rating_count,designer_id,designer_name,designer_first_published,designer_years_experience,designer_total_projects,designer_total_favorites,designer_pattern_count
7,Summer,knitting,7480818,Unknown,,Unknown,Unknown,Unknown,,,,,,,Unknown,,,,,
7,Summer,knitting,7478239,Unknown,,Unknown,Unknown,Unknown,,,,,,,Unknown,,,,,
7,Summer,knitting,1133877,Old Fashioned,2021-04-01,Pullover,Worsted,Wool,103.0,8874.0,856.0,4.857142857142857,35.0,5853.0,Thea Colman,2021-04-01,5.7,193.0,16389.0,2.0
7,Summer,knitting,7495801,Unknown,,Unknown,Unknown,Unknown,,,,,,,Unknown,,,,,
7,Summer,knitting,162969,Wolf Cardigan,,Cardigan,Bulky,Wool,462.0,4353.0,550.0,4.35,40.0,3471.0,Mary Maxim,,,462.0,4353.0,1.0
7,Summer,knitting,1352501,Storm Sweater,2023-08-01,Pullover,DK,Wool,3525.0,48202.0,4891.0,4.769728331177231,773.0,92889.0,PetiteKnit,2018-10-01,8.2,27555.0,326802.0,8.0
7,Summer,knitting,1007889,Sweater No. 9,2020-03-01,Pullover,Bulky,Merino,2093.0,40542.0,3138.0,4.787709497206704,537.0,112581.0,My Favourite Things,2020-03-01,6.8,3550.0,61361.0,2.0
7,Summer,knitting,7460350,Unknown,,Unknown,Unknown,Unknown,,,,,,,Unknown,,,,,
7,Summer,knitting,7371031,The Glow Crew Sweater,2024-09-01,Pullover,Bulky,Merino,188.0,2602.0,202.0,4.519230769230769,52.0,136935.0,Violent Cat Lady,2024-09-01,2.3,188.0,2602.0,1.0
7,Summer,knitting,7509928,Unknown,,Unknown,Unknown,Unknown,,,,,,,Unknown,,,,,
7,Summer,knitting,1012401,Frog and Toad,2020-03-01,Animal,Unknown,Shetland,1322.0,31998.0,2397.0,4.782716049382716,405.0,117665.0,Kristina Ingrid McGowan,2020-03-01,6.8,1322.0,31998.0,1.0
7,Summer,knitting,1154137,Willow Fingerless Mitts,2021-07-01,Fingerless Gloves/Mitts,Fingering,Merino,34.0,3783.0,379.0,4.8,5.0,16724.0,Victoria Magnus,2021-07-01,5.5,34.0,3783.0,1.0
