month_collected,season,craft,pattern_id,pattern_name,published_date,category,yarn_weight,fiber,projects_count,favorites_count,queued_projects_count,rating_average,rating_count,designer_id,designer_name,designer_first_published,designer_years_experience,designer_total_projects,designer_total_favorites,designer_pattern_count
7,Summer,knitting,7480818,CPH Sweater,2025-11-01,Pullover,Worsted,Alpaca,135.0,15697.0,1595.0,4.68,25.0,145180.0,"lesfillesducoeur, Lilly Schwarzkopf",2025-11-01,1.2,135.0,15697.0,1.0
7,Summer,knitting,7478239,Harvest Flower Sweater,2025-11-01,Pullover,DK,Rambouillet,386.0,23876.0,2127.0,4.490196078431373,51.0,105302.0,Jessie Maed Designs,2025-11-01,1.2,539.0,30773.0,2.0
7,Summer,knitting,1133877,Old Fashioned,2021-04-01,Pullover,Worsted,Wool,103.0,8874.0,856.0,4.857142857142857,35.0,5853.0,Thea Colman,2021-04-01,5.7,193.0,16389.0,2.0
7,Summer,knitting,7495801,Melt the ICE Hat,2026-01-01,"Beanie, Toque",Any gauge - designed for any gauge,Wool,13298.0,35902.0,4262.0,4.67360532889259,2402.0,73221.0,Paul S Neary,2026-01-01,1.0,13298.0,35902.0,1.0
7,Summer,knitting,162969,Wolf Cardigan,,Cardigan,Bulky,Wool,462.0,4354.0,550.0,4.35,40.0,3471.0,Mary Maxim,,,462.0,4354.0,1.0
7,Summer,knitting,1352501,Storm Sweater,2023-08-01,Pullover,DK,Wool,3525.0,48204.0,4891.0,4.769728331177231,773.0,92889.0,PetiteKnit,2018-10-01,8.2,31450.0,398792.0,15.0
7,Summer,knitting,1007889,Sweater No. 9,2020-03-01,Pullover,Bulky,Merino,2093.0,40543.0,3138.0,4.787709497206704,537.0,112581.0,My Favourite Things,2020-03-01,6.8,3645.0,65900.0,3.0
7,Summer,knitting,7460350,Avalynn,2025-09-01,Dress,Fingering,Flax,26.0,6442.0,467.0,5.0,14.0,24432.0,Natalie Pelykh,2025-09-01,1.3,26.0,6442.0,1.0
7,Summer,knitting,7371031,The Glow Crew Sweater,2024-09-01,Pullover,Bulky,Merino,188.0,2602.0,202.0,4.519230769230769,52.0,136935.0,Violent Cat Lady,2024-09-01,2.3,188.0,2602.0,1.0
7,Summer,knitting,7509928,Dragonfly Sweater,2026-03-01,Pullover,Fingering,Merino,248.0,11239.0,1062.0,4.955555555555556,45.0,125506.0,Elenor Mortensen,2024-02-01,2.9,1276.0,52711.0,5.0
7,Summer,knitting,1012401,Frog and Toad,2020-03-01,Animal,Unknown,Shetland,1322.0,31999.0,2397.0,4.782716049382716,405.0,117665.0,Kristina Ingrid McGowan,2020-03-01,6.8,1322.0,31999.0,1.0
7,Summer,knitting,1154137,Willow Fingerless Mitts,2021-07-01,Fingerless Gloves/Mitts,Fingering,Merino,34.0,3785.0,380.0,4.8,5.0,16724.0,Victoria Magnus,2021-07-01,5.5,34.0,3785.0,1.0
7,Summer,knitting,7502067,Ariundle,2026-02-01,Pullover,DK,Bluefaced Leicester (BFL),178.0,8707.0,979.0,4.882352941176471,34.0,138405.0,Rebecca Clow,2026-02-01,0.9,464.0,14277.0,2.0
7,Summer,knitting,7296228,Maxine Hot Water Bottle Cover,2023-12-01,Hot Water Bottle,DK,Exmoor Horn,811.0,12424.0,1087.0,4.927536231884058,138.0,130334.0,Laura Penrose,2023-12-01,3.1,811.0,12424.0,1.0
7,Summer,knitting,7461417,Look At My Holes Drop Sleeve Sweater,2025-09-01,Pullover,Worsted,Corriedale,72.0,4249.0,415.0,4.928571428571429,14.0,107430.0,James N Watts,2025-09-01,1.3,72.0,4249.0,1.0
7,Summer,knitting,7533590,Atelier Cardigan,2026-06-01,Cardigan,Bulky,Alpaca,14.0,479.0,46.0,0.0,0.0,108548.0,Maxim Cyr,2026-06-01,0.6,14.0,479.0,1.0
